"filename", "language", "TypeScript", "JSON", "GraphQL", "SCSS", "JavaScript", "HTML", "JSON with Comments", "Markdown", "YAML", "CSS", "XML", "comment", "blank", "total"
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/footer/footer.component.scss", "SCSS", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 21, 104
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/footer/footer.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/footer/footer.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/home-page/home-page.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/home-page/home-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/home-page/home-page.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/home-page/home-page.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/menu/menu.component.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/menu/menu.component.scss", "SCSS", 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 3, 33, 193
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/menu/menu.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/menu/menu.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/pages/blog-page/blog-page.component.html", "HTML", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 1, 77
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/pages/blog-page/blog-page.component.scss", "SCSS", 0, 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 1, 53, 311
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/pages/blog-page/blog-page.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/pages/blog-page/blog-page.component.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 90
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Website/mellonnWebsite/src/app/pages/blog-page/blog-viewer/blog-viewer.component.html", "HTML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
